"Index URL



",Document URL,Document date,Document title,Document type,Document Keywords,,
http://www.justice.gov/atr/cases/indx278.htm,http://www.justice.gov/atr/cases/f7100/7170.htm,12/19/2000,Hold Separate Stipulation and Order,Hold Separate Stipulations and Orders,antitrust,,
http://www.justice.gov/atr/cases/indx278.htm,http://www.justice.gov/atr/cases/f7100/7171.htm,12/18/2000,Complaint,Complaints,antitrust,,
http://www.justice.gov/atr/cases/indx278.htm,http://www.justice.gov/atr/cases/f7100/7172.htm,12/18/2000,[Proposed] Final Judgment ,Final Judgments + Proposed Final Judgments,antitrust,,
http://www.justice.gov/atr/cases/indx278.htm,http://www.justice.gov/atr/cases/f7100/7169.htm,12/18/2000,United States' Explanation of Consent Decree Procedures,Motions and Memoranda - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/aktiengesellschaft.html,http://www.justice.gov/atr/cases/f273300/273396.htm,5/5/1999,Information,Informations,antitrust,,
http://www.justice.gov/atr/cases/indx317.htm,http://www.justice.gov/atr/cases/f8500/8508.htm,6/27/2001,Information,Informations,antitrust,,
http://www.justice.gov/atr/cases/indx8.htm,http://www.justice.gov/atr/cases/f1200/1225.htm,9/24/1997,Information,Informations,antitrust,,
http://www.justice.gov/atr/cases/akzo.htm,http://www.justice.gov/atr/cases/f216300/216369.htm,5/17/2006,Plea Agreement,Plea Agreements / Rule 11 Memoranda,antitrust,,
http://www.justice.gov/atr/cases/akzo.htm,http://www.justice.gov/atr/cases/f216000/216075.htm,5/8/2006,Order For Expedited Sentencing ,Orders - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/akzo.htm,http://www.justice.gov/atr/cases/f216100/216122.htm,5/4/2006,United States and Akzo Nobel's Joint Sentencing Memorandum,Motions and Memoranda - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/akzo.htm,http://www.justice.gov/atr/cases/f216000/216074.htm,5/3/2006,Stipulation in Support of Expedited Sentencing,Stipulations - Miscellaneous,antitrust,,
